CompanyID,Name_co,Category_co,Hashtags_co,Country_co,Followers_co
0,The Little Shop,Cars,#instadaily#food#followback#instatravel,Brazil,195608
1,The Cozy Kitchen,Sports with a ball,#instalike#fashion#holidayseason#skiing#loveit,Egypt,415795
2,The Roost,Art,#blessings#foodlife#endurance#fitnessmotivation#foodie,Turkey,116164
3,The Wooden Spoon,Computers,#foodislifee#familytime,Iran,524384
4,Sunflower Fields,Management,#health#trendy,Germany,307127
5,The Sweet Spot,Nature  landscapes,#follow4follow#getfit#follow,Tanzania,382135
6,Harvest Moon,Beauty,#foodtime#photo#transportation#fitnessmotivation#parkour,Egypt,444735
7,The Garden Shed,Cars,#education#summer2022#foodgawker,Kenya,368891
8,The Cozy Nest,Modeling,#foodexplorer#manufacturing#sports#foodgawker,Iran,544801
9,The Rustic Mill,Fitness,#followback#holiday#runnersofinstagram,Philippines,167680
10,The Rustic Birdhouse,Nature  landscapes,#naturelovers#party#gym#foodnetwork,Japan,436344
11,The Olive Branch,Undefined,#telecom#instafit#amazing#foodgawker,Egypt,528764
12,The Happy Camper,Cars,#foodie#skiing#quote#tbt,Kenya,383642
13,Riverbank Cafe,Racing,#fashionstyle#fashion#weekendvibes#trendy,United Kingdom,519963
14,The Rustic Lantern,Humor,#gains#sports,Russia,460425
15,The Daily Grind,Machinery,#runnersofinstagram#lifestyle#instalike,Russia,441483
16,The Sunflower Cafe,Luxury,#instalike#yoga,Thailand,7422
17,Cherry Blossom,Science,#motivational#foodisart#followme,United States,200702
18,Simply Elegant,Lifestyle,#instaphoto#photographysouls,Mexico,380839
19,Copper Cup,Undefined,#blogger#photooftheday#foodieforlife#selfie,Bangladesh,83087
20,The Rustic Table,Cinema,#happyme#fitspo#beautyful,Thailand,533346
21,Aroma Cafe,Adult content,#runnersofinstagram#cute#foodisart#quote#beautiful,Pakistan,291766
22,High Tide Cafe,Accessories,#athlete#goodvibes#pilates,France,572195
23,The Greenhouse,Art,#naturephotography#style#strength,Nigeria,282957
24,The Espresso Bar,Clothing,#dog#foodisart,Indonesia,97442
25,The Ice Cream Parlor,Beauty,#manufacturing#goodnight#doglover#photooftheday#smilemore,Nigeria,55865
26,The Glass House,Modeling,#girlpower#smile#girl#smiles#beautifuldestinations,Iran,278737
27,The Spice House,Machinery,#beautifulday#girlpower#wanderlust#friendsforever,Spain,368927
28,Crimson Clover,Finance,#naturephotography#fitspo#musician#foodinspo#yum,Germany,30701
29,The Cottage Cafe,Adult content,#fashionblogger#muscle,DR Congo,92451
30,Vintage Vineyards,Modeling,#goodvibes#cricket#motivation#foodbloggersofinstagram,Mexico,340720
31,The Lemon Tree,Finance,#swimming#party,Myanmar,339169
32,The Garden Gate,Racing,#entrepreneur#lifestyle,France,133995
33,Harmony House,Finance,#foodisart#strength#travel#tennis#photoart,South Korea,41307
34,Coastal Cafe,Nature  landscapes,#fashion#yoga#likeforlike#foodie,Germany,338558
35,The Wooden Crate,Sports with a ball,#instagood#follow,India,56885
36,Green Thumb,Adult content,#fitlife#shopping#holidayseason,Vietnam,66824
37,The Grapevine,Finance,#beautyful#fashionable#gains#photographer,Turkey,562163
38,Garden Grille,Sports with a ball,#ootd#foodstagram#instatravel,Japan,552039
39,The Rusty Nail,Science,#money#beauty#motivation#foodlover,Colombia,204744
40,Golden Lotus,Luxury,#football#music#fitnessmodel,China,309426
41,Peppermint Palace,Lifestyle,#fashionphotography#cute,Tanzania,547611
42,The Blue Willow,Family,#training#musician#motivational#foodgawker,Turkey,352231
43,The Painted Teapot,Modeling,#friendshipgoals#goodtimes#funtime,Brazil,89866
44,The Kitchen Table,Photography,#snowboarding#travel#quotes#foodnetwork,Iran,180462
45,Sapphire Cafe,Lifestyle,#styleinspiration#foodaddict,South Africa,331429
46,Blue Ribbon Bakery,Science,#blogger#foodgawker,Nigeria,252147
47,La Dolce Vita,Fitness,#rugby#tech#dog#coffee#blackandwhite,Spain,211292
48,The Silver Spoon,Finance,#girlpower#fun,China,588884
49,The Chopped Leaf,Undefined,#baseball#doglover,South Africa,414806
50,The Book Nook,Beauty,#money#landscapephotography,Iran,18981
51,Lemon Meringue,Music,#foodoftheday#crossfit#instalike#workout#tennis,China,326104
52,Skyline Bistro,Photography,#couplesgoals#dogstagram#tennis,Spain,386657
53,The Velvet Room,Finance,#familytime#fun#foodie,South Africa,500782
54,Emerald Isle,Computers,#party#luxury#yum#yoga,Egypt,409561
55,The Potted Plant,Racing,#fitspo#happybirthday#fashion,United States,365799
56,Cinnamon Sticks,Kids,#baby#music#follow4follow,Pakistan,136163
57,Starry Nights,Racing,#wanderlust#skiing#friendshipgoals,Bangladesh,450352
58,Panda Garden,Food,#quotes#doglover#cycling#success#modeling,Iran,110725
59,The Rose Garden,Fitness,#entertainment#landscapephotography#telecom#happynewyear#style,Germany,199153
60,Firefly Bakery,Art,#cars#smilemore#construction#foodie#fun,Ethiopia,588945
61,Brewed Awakening,Business,#trailrunning#igers#beautifuldestinations#funny,Egypt,421220
62,The Wildflower,Clothing,#fitnessmodel#energy,Germany,585312
63,The Hummingbird,Accessories,#girl#foodgrammer#fitness#cars,Turkey,511110
64,Tropical Temptations,Shows,#tech#landscape#trainhard#dogsofinstagram,Myanmar,408355
65,The Wooden Spoon,Humor,#instamood#foodtime,Egypt,74004
66,The Green Door,Cars,#fitnessmotivation#summer2022#fitness#happyme#foodexperience,Spain,347847
67,The Red Umbrella,Cinema,#foodinspo#travel#money#naturelovers#sports,Italy,236881
68,Riviera Patisserie,Cinema,#travelphotography#blackandwhite,Italy,168321
69,The Olive Tree,Machinery,#likeforlike#foodstagrammer,Egypt,422019
70,Vintage Finds,Cars,#photography#tech#weekendvibes#goodtimes#followback,South Korea,49486
71,The Whistling Kettle,Nature  landscapes,#getfit#foodbloggersofinstagram#skateboarding,Kenya,586985
72,The Bluebird Cafe,Shows,#sports#yoga#beautiful#football#strength,France,300959
73,The Brass Lantern,Business,#sports#beautyful#workout#foodblogfeed,South Africa,217446
74,The Fresh Market,Fashion,#boxing#foodcoma#weekendvibes,Vietnam,535649
75,The Pinecone,Cars,#foodstagrammer#lifeisgood,Bangladesh,207876
76,Fancy Fingers,Accessories,#fashionstyle#beautyful,Nigeria,332653
77,The Winding Road,Computers,#sunset#beautyblogger#fitness,France,272762
78,The Rustic Rose,Sports with a ball,#weekend#extremesports#quote#foodheaven#beach,India,356545
79,Cactus Club Cafe,Music,#extremesports#foodlover#photooftheday#amazing#musician,China,170877
80,The Mustard Seed,Lifestyle,#landscapephotography#swimming,South Korea,558072
81,The Seafood Shack,Computers,#crossfit#goodvibes,Ethiopia,417634
82,The Wooden Wheel,Kids,#golf#igers,United Kingdom,105794
83,The Red House,Food,#quote#follow4follow,Tanzania,272198
84,The Baking Company,Music,#sun#fashionstyle#sports#cardio#girl,Philippines,279766
85,Seaside Eats,Music,#model#foodbloggerlife,Nigeria,68691
86,The Secret Garden,Fitness,#new#photo,China,28274
87,Mossy Cafe,Cars,#foodexperience#friendsforever#fashion#entertainment,Brazil,290463
88,The Golden Hen,Fashion,#basketball#dog#holidayvibes#training#igers,Iran,274599
89,The Gingerbread House,Cars,#colorful#motivational#fitnessmodel#skateboarding,Thailand,230043
90,The Pearl Cafe,Modeling,#dogstagram#summer,Colombia,24000
91,The Honey Pot,Kids,#motivation#fitfam#wanderlust#sunset#workout,Pakistan,154283
92,Gourmet Kitchen,Accessories,#fitlife#summer2022#goodnight#beautyful,Colombia,577253
93,The Little Teapot,Lifestyle,#photooftheday#beautiful#loveit,China,191100
94,The Little Bakery,Management,#igers#media#styleinspiration,DR Congo,347592
95,Copper Kettle,Undefined,#baseball#friendshipgoals#skiing,Thailand,354362
96,The Crusty Baguette,Food,#instamood#education#beautifuldestinations,China,74286
97,The Plaid Pail,Luxury,#goodmorning#cricket#transportation#media#makeup,Nigeria,108265
98,The Sugar House,Business,#muscle#lifestyle#instatravel#instadaily,Germany,82077
99,Urban Bites,Shows,#cricket#lifeisgood,Tanzania,445319
